When to Use,Tool Name,Purpose,How
1,The Contextual Relevance Check™,For determining if evidence or premises are truly applicable and impactful in a given argumentative situation.,"Before accepting a premise or piece of evidence, ask: ""Given the specific context (e.g., formal debate, legal proceeding, everyday conversation), the intended audience, and the objective of this argument, is this reason truly relevant, acceptable, and sufficient?"". Recognize that the standards for these criteria are not universal; what is sufficient in one context may not be in another. If a premise seems out of place or its strength is ambiguous, probe its contextual fit, being aware of ""subject-matter-specific communication conventions"" that might apply. This tip highlights that argument evaluation is not a one-size-fits-all process."
1,The Framework Integration Filter™,"To prevent fragmented understanding by consciously connecting specific reasoning tasks to broader, generic theoretical structures.","When encountering a logical reasoning problem, avoid simply applying an isolated rule. Instead, reflect on how it fits into a ""generic explainable framework"" or overarching principles of argumentation. Ask yourself: ""What fundamental theory of logic, probability, or rational choice does this problem engage with, or what general type of fallacy is it an instance of?"" This helps consolidate isolated pieces of knowledge into a more coherent and applicable understanding."
1,The Interdisciplinary Lens Shift™,To unlock deeper insights into the nature and impact of arguments by consciously incorporating perspectives from diverse academic fields.,"When analyzing a complex argument, mentally ""approach[] the psychology discipline"" or consider insights from philosophy, cognitive science, and social psychology. Ask: ""What structural or attribute insights could psychology offer about why this argument is persuasive (or not) to humans?"". ""How might philosophical principles or cognitive biases identified by social science inform its underlying assumptions or the way it's presented?"". This broadens your analytical toolkit beyond pure formal logic."
1,The Actionable Problem Formulation™,"To clearly and unambiguously articulate a problem or an area for improvement, making it actionable for oneself or others.","When identifying a problem in reasoning or an area needing improvement, formulate it with extreme clarity and specificity, as if writing a ""GitHub issue description"". Ask: ""Is the 'problem_description' so clear that anyone (a 'software engineer' or another person) viewing it could understand precisely what needs to be fixed or implemented without additional context?"". This ensures that the problem is well-defined and ready for a solution."
1,The Dynamic Contextual Re-evaluation™,To ensure that reasoning remains relevant and appropriate by continuously re-evaluating its context as new information emerges.,"Recognize that the ""relevance of usual human reasoning is sensitive to contexts"". Don't assume a fixed context; be prepared to ""revise it"" as ""the development of inferences"" or new information arises. Ask: ""Has the underlying context of this problem or argument shifted, making my current line of reasoning less relevant or requiring a different approach?"" This is about adapting your reasoning to evolving situations."
1,The Embedded Normativity Decoder™,"To uncover and articulate the implicit, long-standing standards or principles that govern reasoning in a particular domain.","Instead of always searching for novel logical frameworks, look to existing practices (e.g., legal, scientific, everyday) and ""explain what the law has been doing all along"". Ask: ""What are the unspoken 'standards of proof' or underlying 'logic' that are implicitly applied in this context? Can I formalize or articulate these embedded norms to make them explicit and amenable to critical assessment?"" This helps to codify ""common sense"" into a testable framework."
1,The Ideological Contamination Detector™,"To identify and challenge ""pernicious ideas"" or manipulative arguments that exploit social dynamics.","Be vigilant for arguments or claims that seem ""nasty"" or spread too easily without critical scrutiny, as ""pernicious ideas seem to be the easiest to plant!"". Ask: ""Is this idea designed to exploit emotional responses or social biases? Does it resist investigation and challenge?"". This requires a sociological awareness of how ideas spread and influence people, enabling you to critically investigate and challenge them."
1,The Targeted Inquiry Framework (PICO)™,"To formulate clear, focused, and actionable questions for research or problem-solving, particularly in applied settings.","When developing a research question or framing a problem for investigation, use the PICO framework:<br>◦ Population of clients/subjects: Who is involved?<br>◦ Intervention: What is the proposed action or solution?<br>◦ Comparison: What is it being compared against (including doing nothing)?<br>◦ Outcome: What are the hoped-for results?. This structure helps ensure the question is ""well-formed,"" ""client oriented,"" ""practically important,"" and guides efficient information searches."
1,The Silent Majority Inference™,"To infer broader patterns or underlying issues from limited, explicit feedback.","When you receive explicit feedback or observe a problem, apply the principle: ""When you hear a complaint from somebody, I think it’s healthy to assume there are a lot more people who are unhappy"". This encourages looking beyond the immediately visible data to infer a larger, unspoken issue, prompting deeper investigation."
1,The Strategic Questioning Matrix™,To steer conversations and deepen understanding by using different types of questions for specific goals.,"When engaging in discussion or internal monologue, employ a ""Strategic Questioning Matrix"" to achieve different goals:<br>◦ Clarifying questions: ""Help us better understand what has been said"" (e.g., ""Can you tell me more?"").<br>◦ Adjoining questions: ""Explore related aspects of the problem that are ignored"" (e.g., ""How would this concept apply in a different context?""). (Implicitly, ""funneling"" questions for narrowing focus, and ""elevating"" questions for broadening scope, are also part of such a matrix, though not explicitly defined in the source snippets but suggested by contrast.)"
