Dimension,Category,Bucket,Description,Example,NOTE
Argument Orientation,Pro Orientation,Stance,"An argument or statement expressing support for a central claim. In Argdown, pro tags label positions or arguments favoring the motion under discussion.","In a debate on censorship, a pro argument might assert that censorship protects vulnerable populations from harmful content.",
Argument Orientation,Con Orientation,Stance,An argument or statement expressing opposition to a central claim. Con tags identify positions that challenge or counter the motion.,"In the same debate, a con argument might claim that censorship infringes on freedom of expression and stifles democratic discourse.",
Argument Orientation,Neutral/Exploratory Orientation,Stance,"Open, inquiryâfirst posture without commitment.",Frames discussion as questionâdriven with explicit uncertainty.,
Argument Orientation,Devilâs Advocate Orientation,Stance,Intentional opposition to stressâtest a claim.,Temporarily argues the opposite to expose weak points.,
Argument Orientation,Forensic/Legal,Rhetorical Genre,"Arguments addressing past events, justice and legal determinations; draw on rules, facts and precedent.",Using witness testimony and statutory rules to decide whether a contract was breached.,
Argument Orientation,Deliberative/Political,Rhetorical Genre,"Arguments about future actions or policy choices; weigh means, ends and consequences.",Debating whether to impose a carbon tax by comparing predicted costs and benefits.,
Argument Orientation,Epideictic/Ceremonial,Rhetorical Genre,"Arguments evaluating present character or values, often for praise or blame.",A eulogy highlighting a leaderÕs virtues and moral character.,
Argument Orientation,Scientific/Academic,Domain Context,"Arguments aimed at theory development, empirical analysis, or scholarly debate; emphasize methodological rigor.",Presenting a study that tests a new drug mechanism using controlled experiments and peer review.,
Argument Orientation,Everyday/Practical,Domain Context,Arguments used in daily decisions and informal reasoning; often rely on common experience rather than formal evidence.,Deciding which route home is faster based on past commuting experiences.,
Argument Orientation,Temporal Focus: Past_Oriented,Temporal Lens,Arguments focused on explaining or judging past events.,An accident investigation reconstructing the sequence of failures.,
Argument Orientation,Temporal Focus: Present_Oriented,Temporal Lens,Arguments concerned with current states or conditions.,Debating whether a present economic slowdown constitutes a recession.,
Argument Orientation,Temporal Focus: Future_Oriented,Temporal Lens,Arguments forecasting outcomes of proposed actions.,Predicting the impact of autonomous trucks on employment.,
Argument Scheme,Argument from Expert Opinion,Authority / Testimony / Social Proof,Reasoning that an assertion is true because it is supported by a qualified and unbiased expert.,Relying on a climatologistâs assessment to support a climate claim.,
Argument Scheme,Argument from Sign,Statistical / Symptomatic,Inferring a condition from a sign or symptom indicative of it.,Seeing smoke as a sign that there is fire.,
Argument Scheme,Argument from Cause to Effect,Causal / Consequential,"Arguing that because a cause has occurred, its typical effect will follow.","Since the company introduced a price cut, sales will increase.",
Argument Scheme,Argument from Effect to Cause,Causal / Consequential,Inferring the probable cause from the observation of an effect.,Diagnosing an illness based on symptoms.,
Argument Scheme,Argument from Analogy,Analogy / Exemplification / Definitions,Drawing a conclusion about a target case by comparing it to a similar source case.,Arguing that two legal cases should be decided alike because of their similarities.,
Argument Scheme,Argument from Example,Analogy / Exemplification / Definitions,Citing specific instances as evidence that a general statement is true.,Using historical examples to support a general claim about market behavior.,
Argument Scheme,Argument from Commitment (Position to Know),Authority / Testimony / Social Proof,Claiming that someoneâs statements are reliable because they are committed to telling the truth or are in a position to know.,Believing a confession because the speaker has publicly promised honesty.,
Argument Scheme,Practical Reasoning,Practical / Rules / Precedent,"Reasoning about what action to take by weighing goals, means and consequences.","Deciding whether to invest in a project by balancing cost, benefit and feasibility.",
Argument Scheme,Argument from Popular Opinion,Authority / Testimony / Social Proof,Asserting that a claim is true because many people believe it.,Arguing that a policy is sound because surveys show it is widely supported.,
